continente,date,p7,IA21,EPG
Asia,26/05/2022,2.142857142857143,0.0,0.0
Asia,27/05/2022,2.142857142857143,0.0,0.0
Asia,28/05/2022,2.0,0.00010515460506917463,0.00021030921013834926
Asia,29/05/2022,1.8571428571428572,0.00010515460506917463,0.00019528712369989575
Asia,30/05/2022,1.8571428571428572,0.00012618552608300955,0.00023434454843987489
Asia,31/05/2022,1.4285714285714286,0.00012618552608300955,0.00018026503726144223
Asia,01/06/2022,1.0,0.00012618552608300955,0.00012618552608300955
Asia,02/06/2022,0.5714285714285714,0.00021030921013834926,0.00012017669150762815
Asia,03/06/2022,0.7142857142857143,0.00021030921013834926,0.0001502208643845352
Asia,04/06/2022,0.8571428571428571,0.00021030921013834926,0.0001802650372614422
Asia,05/06/2022,0.8571428571428571,0.00021030921013834926,0.0001802650372614422
Asia,06/06/2022,0.7142857142857143,0.00021030921013834926,0.0001502208643845352
Asia,07/06/2022,0.5714285714285714,0.00021030921013834926,0.00012017669150762815
Asia,08/06/2022,1.0,0.0003364947362213588,0.0003364947362213588
Asia,09/06/2022,1.4285714285714286,0.0003364947362213588,0.0004807067660305126
Asia,10/06/2022,1.8571428571428572,0.0003575256572351937,0.0006639762205796455
Asia,11/06/2022,1.75,0.0003575256572351937,0.000625669900161589
Asia,12/06/2022,1.7857142857142858,0.0003575256572351937,0.0006384386736342745
Asia,13/06/2022,1.7857142857142858,0.0003364947362213588,0.0006008834575381407
Asia,14/06/2022,1.7857142857142858,0.0003364947362213588,0.0006008834575381407
Asia,15/06/2022,1.5,0.0003785565782490287,0.000567834867373543
Asia,16/06/2022,1.3571428571428572,0.0003154638152075239,0.00042812946349592536
Asia,17/06/2022,0.8571428571428571,0.0003154638152075239,0.0002703975558921633
Asia,18/06/2022,0.8452380952380952,0.0003154638152075239,0.00026664203428255
Asia,19/06/2022,0.8095238095238095,0.0003154638152075239,0.00025537546945370986
Asia,20/06/2022,1.3809523809523812,0.0003995874992628636,0.0005518113085058593
Asia,21/06/2022,1.9523809523809526,0.0004626802623043683,0.0009033281311656715
Asia,22/06/2022,2.238095238095238,0.0005047421043320382,0.0011296609001717045
Asia,23/06/2022,2.380952380952381,0.000567834867373543,0.0013519877794608167
