continente,mes,p7,IA21,EPG
Asia,jul,1.5965157704796176,0.0015881737449479857,0.0024881649568719113
Asia,ago,1.5370669658126483,0.002244202797218255,0.003459856120044804
Asia,set,0.986007506139085,0.0011581027171618428,0.0011875117489148364
Africa,jul,1.273393631458147,0.007155015066075679,0.009117933832545432
Africa,ago,1.517331403015103,0.010679763623885159,0.016197033849726435
Africa,set,1.563780822352251,0.012775679395829319,0.02008702558507693
Europa,jul,1.5447424530549585,0.8140121305941446,1.258188805644652
Europa,ago,1.2584639772239807,0.9335735036863207,1.1970485655580065
Europa,set,0.966673144367833,0.38685132251700954,0.37419309042657606
America do Sul,jul,2.6099825090347917,0.10722734911651759,0.24505312007632565
America do Sul,ago,1.6474660057001338,0.7100355409979144,1.086643740165034
America do Sul,set,1.2592105352325997,1.1400212587424683,1.4338533891601932
America do Norte,jul,2.2417802485505987,0.3088259724952215,0.6840803862191221
America do Norte,ago,1.7012820371421016,1.4628648793367192,2.433188563032046
America do Norte,set,1.3659890054703248,1.3919009695958406,1.868139661555296
