continente,fator_risco,p7,IA21,EPG
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,0.0,0.0,0.0
Asia,1.0,1.9523809523809526,0.0,0.0
Asia,1.0,2.238095238095238,0.0,0.0
Asia,1.0,2.380952380952381,0.000567834867373543,0.0013519877794608167
Asia,1.0,2.8095238095238098,0.0005888657883873779,0.0016544324530883476
Asia,1.0,2.976190476190476,0.0005047421043320382,0.0015022086438453517
Asia,1.0,3.119047619047619,0.000546803946359708,0.0017055075469790894
Asia,1.0,3.119047619047619,0.0007781440775118922,0.0024270684322394735
Asia,1.0,3.1190476190476195,0.000862267761567232,0.0026894542086977956
Asia,1.0,3.1190476190476195,0.0009674223666364067,0.0030174364292706976
Asia,1.0,2.833333333333333,0.0010725769717055812,0.0030389680864991464
Asia,1.0,2.476190476190476,0.0009463914456225717,0.0023434454843987485
Asia,1.0,2.365079365079365,0.0009463914456225717,0.0022382908793295744
Asia,1.0,2.3854875283446715,0.001093607892719416,0.0026087879889814644
Asia,1.0,2.1712018140589566,0.001135669734747086,0.0024657681882547275
Asia,1.0,2.0759637188208617,0.001135669734747086,0.0023576091658978624
Asia,1.0,1.5594802023373453,0.0011987624977885909,0.001869446382605773
Asia,1.0,1.340992807379362,0.0013039171028577654,0.0017485434563511992
Asia,1.0,1.2552785216650764,0.0012618552608300957,0.0015839798063701019
Asia,1.0,1.2269338504632625,0.0012408243398162606,0.0015224093849993004
Asia,1.0,1.092239972912242,0.0012828861818439303,0.0014012195685067042
Asia,1.0,0.9922399729122419,0.0014301026289407748,0.0014190049938019203
Asia,1.0,0.8196209252931942,0.0015983499970514544,0.0013100411035256872
Asia,1.0,0.9932472989195679,0.0015352572340099496,0.0015248901008271093
Asia,1.0,1.1974489795918368,0.001682473681106794,0.002014676392631452
Asia,1.0,1.454591836734694,0.0016193809180652893,0.002355538263981704
Asia,1.0,1.582142857142857,0.0015562881550237845,0.002462270188126916
Asia,1.0,1.5535714285714286,0.0015352572340099496,0.0023851317742654573
Asia,1.0,1.7535714285714283,0.0018717519702313085,0.0032822507763699015
Asia,1.0,2.0214285714285714,0.0019979374963143177,0.004038687938978228
Asia,1.0,2.1738095238095236,0.0017665973651621338,0.003840246177126257
Asia,1.0,2.011624649859944,0.0017876282861759689,0.003596037125258465
Asia,1.0,1.7687675070028008,0.001745566444148299,0.0030875012077239304
Asia,1.0,1.6503464543712223,0.0016404118390791244,0.0027072478623328088
Asia,1.0,1.767229571254339,0.0017665973651621338,0.003121983104214523
Asia,1.0,1.5815152855400534,0.002039999338341988,0.003226290136079449
Asia,1.0,1.5815152855400534,0.002039999338341988,0.003226290136079449
Asia,1.0,1.4148486188733866,0.0020610302593558226,0.0029160458159058432
Asia,1.0,1.3770334928229666,0.0020820611803696576,0.0028670679794755385
Asia,1.0,1.3353668261562999,0.002039999338341988,0.002724147441802692
Asia,1.0,1.2971944721944724,0.0019348447332728134,0.0025098698925560816
Asia,1.0,1.2160256410256411,0.001955875654286648,0.0023783949462703666
Asia,1.0,1.4267399267399268,0.002502679600646356,0.003570672910079691
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,0.0,0.0,0.0
Africa,1.0,1.7142857142857142,0.0,0.0
Africa,1.0,1.7142857142857142,0.0,0.0
Africa,1.0,1.7142857142857142,0.009256393824107315,0.015868103698469683
Africa,1.0,1.7142857142857142,0.011065914421301226,0.018970139007944958
Africa,1.0,1.7142857142857142,0.010996317475255306,0.018850829957580525
Africa,1.0,1.1803751803751805,0.009743572446428754,0.011501071083951979
Africa,1.0,1.1803751803751805,0.009743572446428754,0.011501071083951979
